171838,229928.81,,Mon Jun 04 2012 00:00:00 GMT+0100 (Western European Summer Time),Mon Jan 31 2011 00:00:00 GMT+0000 (Western European Standard Time),39800000-0, Produtos de limpeza e polimento,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Outros Tipos (Não Preenchido),Concurso público,Portugal, Faro,Lote 3 – Detergentes,Cumprimento integral do contrato,730 dias,Thu Feb 04 2021 12:19:43 GMT+0000 (Western European Standard Time)
220107,5326.5,5326.5,Mon Jun 04 2012 00:00:00 GMT+0100 (Western European Summer Time),Mon Aug 01 2011 00:00:00 GMT+0100 (Western European Summer Time),34992200-9, Placas de sinalização rodoviária,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de bens móveis,Concurso público,Portugal, Faro,Lote 18 – Sinais Complementares em Chapa de Ferro,Cumprimento integral do contrato,730 dias,Thu Feb 04 2021 13:10:25 GMT+0000 (Western European Standard Time)
220098,12335.28,12335.28,Mon Jun 04 2012 00:00:00 GMT+0100 (Western European Summer Time),Mon Aug 01 2011 00:00:00 GMT+0100 (Western European Summer Time),34992200-9, Placas de sinalização rodoviária,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de bens móveis,Concurso público,Portugal, Faro,Lote 2 – Sinais de Perigo em Chapa de Ferro,Cumprimento integral do contrato,730 dias,Thu Feb 04 2021 13:10:25 GMT+0000 (Western European Standard Time)
220102,7786.2,7786.2,Mon Jun 04 2012 00:00:00 GMT+0100 (Western European Summer Time),Mon Aug 01 2011 00:00:00 GMT+0100 (Western European Summer Time),34992200-9, Placas de sinalização rodoviária,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de bens móveis,Concurso público,Portugal, Faro,Lote 19 – Painéis Adicionais em Chapa de Alumínio,Cumprimento integral do contrato,730 dias,Thu Feb 04 2021 13:10:25 GMT+0000 (Western European Standard Time)
206225,11858.72,11858.72,Mon Jun 04 2012 00:00:00 GMT+0100 (Western European Summer Time),Sat Apr 30 2011 00:00:00 GMT+0100 (Western European Summer Time),30195200-4, Quadros electrónicos ou acessórios,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de bens móveis,Concurso público,Portugal, Faro,Quadros Interactivos e Equipamentos Conexos,Cumprimento integral do contrato,730 dias,Thu Feb 04 2021 12:59:08 GMT+0000 (Western European Standard Time)
220099,8656.8,8656.8,Mon Jun 04 2012 00:00:00 GMT+0100 (Western European Summer Time),Mon Aug 01 2011 00:00:00 GMT+0100 (Western European Summer Time),34992200-9, Placas de sinalização rodoviária,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de bens móveis,Concurso público,Portugal, Faro,Lote 14 – Sinais de Pré-Sinalização em Chapa de Ferro,Cumprimento integral do contrato,730 dias,Thu Feb 04 2021 13:10:25 GMT+0000 (Western European Standard Time)
220105,13814.32,13814.32,Mon Jun 04 2012 00:00:00 GMT+0100 (Western European Summer Time),Mon Aug 01 2011 00:00:00 GMT+0100 (Western European Summer Time),34992200-9, Placas de sinalização rodoviária,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de bens móveis,Concurso público,Portugal, Faro,Lote 1 – Sinais de Perigo em Chapa de Alumínio,Cumprimento integral do contrato,730 dias,Thu Feb 04 2021 13:10:25 GMT+0000 (Western European Standard Time)
171840,91267.17,,Mon Jun 04 2012 00:00:00 GMT+0100 (Western European Summer Time),Mon Jan 31 2011 00:00:00 GMT+0000 (Western European Standard Time),33761000-2, Papel higiénico,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Outros Tipos (Não Preenchido),Concurso público,Portugal, Faro,Lote 1 – Papel higiénico,Cumprimento integral do contrato,730 dias,Thu Feb 04 2021 12:19:43 GMT+0000 (Western European Standard Time)
220089,3778.04,3778.04,Mon Jun 04 2012 00:00:00 GMT+0100 (Western European Summer Time),Mon Aug 01 2011 00:00:00 GMT+0100 (Western European Summer Time),34992200-9, Placas de sinalização rodoviária,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de bens móveis,Concurso público,Portugal, Faro,Lote 4 – Sinais de Cedência de Passagem em Chapa de Ferro,Cumprimento integral do contrato,730 dias,Thu Feb 04 2021 13:10:15 GMT+0000 (Western European Standard Time)
220092,4664,4664,Mon Jun 04 2012 00:00:00 GMT+0100 (Western European Summer Time),Mon Aug 01 2011 00:00:00 GMT+0100 (Western European Summer Time),34992200-9, Placas de sinalização rodoviária,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de bens móveis,Concurso público,Portugal, Faro,Lote 16 – Sinais de Direcção, Confirmação e Identificação de Localidades em Chapa de Ferro,Cumprimento integral do contrato,730 dias,Thu Feb 04 2021 13:10:15 GMT+0000 (Western European Standard Time)
119848,1124.488,1126.375,Mon Jun 04 2012 00:00:00 GMT+0100 (Western European Summer Time),Mon Jun 14 2010 00:00:00 GMT+0100 (Western European Summer Time),45232400-6, Obras de construção de esgotos,Não aplicável,Artigo 28.º do Código dos Contratos Públicos,Empreitadas de obras públicas,Concurso público,Portugal, Lisboa, Lisboa,CP/O 09/09,Cumprimento integral do contrato,120 dias,Thu Feb 04 2021 10:58:38 GMT+0000 (Western European Standard Time)
220094,4565.28,4565.28,Mon Jun 04 2012 00:00:00 GMT+0100 (Western European Summer Time),Mon Aug 01 2011 00:00:00 GMT+0100 (Western European Summer Time),34992200-9, Placas de sinalização rodoviária,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de bens móveis,Concurso público,Portugal, Faro,Lote 3 – Sinais de Cedência de Passagem em Chapa de Alumínio,Cumprimento integral do contrato,730 dias,Thu Feb 04 2021 13:10:15 GMT+0000 (Western European Standard Time)
220095,22711,22711,Mon Jun 04 2012 00:00:00 GMT+0100 (Western European Summer Time),Mon Aug 01 2011 00:00:00 GMT+0100 (Western European Summer Time),34992200-9, Placas de sinalização rodoviária,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de bens móveis,Concurso público,Portugal, Faro,Lote 5 – Sinais de Proibição em Chapa de Alumínio,Cumprimento integral do contrato,730 dias,Thu Feb 04 2021 13:10:15 GMT+0000 (Western European Standard Time)
220090,5818.7,5818.7,Mon Jun 04 2012 00:00:00 GMT+0100 (Western European Summer Time),Mon Aug 01 2011 00:00:00 GMT+0100 (Western European Summer Time),34992200-9, Placas de sinalização rodoviária,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de bens móveis,Concurso público,Portugal, Faro,Lote 17 – Sinais Complementares em Chapa de Alumínio,Cumprimento integral do contrato,730 dias,Thu Feb 04 2021 13:10:15 GMT+0000 (Western European Standard Time)
220091,15379.08,15379.08,Mon Jun 04 2012 00:00:00 GMT+0100 (Western European Summer Time),Mon Aug 01 2011 00:00:00 GMT+0100 (Western European Summer Time),34992200-9, Placas de sinalização rodoviária,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de bens móveis,Concurso público,Portugal, Faro,Lote 9 – Sinais de Prescrição Específica em Chapa de Alumínio,Cumprimento integral do contrato,730 dias,Thu Feb 04 2021 13:10:15 GMT+0000 (Western European Standard Time)
220113,13868.05,13868.05,Mon Jun 04 2012 00:00:00 GMT+0100 (Western European Summer Time),Mon Aug 01 2011 00:00:00 GMT+0100 (Western European Summer Time),34992200-9, Placas de sinalização rodoviária,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de bens móveis,Concurso público,Portugal, Faro,Lote 8 – Sinais de Obrigação em Chapa de Ferro,Cumprimento integral do contrato,730 dias,Thu Feb 04 2021 13:10:25 GMT+0000 (Western European Standard Time)
220110,38948.07,38948.07,Mon Jun 04 2012 00:00:00 GMT+0100 (Western European Summer Time),Mon Aug 01 2011 00:00:00 GMT+0100 (Western European Summer Time),34992200-9, Placas de sinalização rodoviária,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de bens móveis,Concurso público,Portugal, Faro,Lote 12 – Sinais de Informação em Chapa de Ferro,Cumprimento integral do contrato,730 dias,Thu Feb 04 2021 13:10:25 GMT+0000 (Western European Standard Time)
220114,42594.69,42594.69,Mon Jun 04 2012 00:00:00 GMT+0100 (Western European Summer Time),Mon Aug 01 2011 00:00:00 GMT+0100 (Western European Summer Time),34992200-9, Placas de sinalização rodoviária,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de bens móveis,Concurso público,Portugal, Faro,Lote 11 – Sinais de Informação em Chapa de Alumínio,Cumprimento integral do contrato,730 dias,Thu Feb 04 2021 13:10:25 GMT+0000 (Western European Standard Time)
220112,15920.1,15920.1,Mon Jun 04 2012 00:00:00 GMT+0100 (Western European Summer Time),Mon Aug 01 2011 00:00:00 GMT+0100 (Western European Summer Time),34992200-9, Placas de sinalização rodoviária,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de bens móveis,Concurso público,Portugal, Faro,Lote 7 – Sinais de Obrigação em Chapa de Alumínio,Cumprimento integral do contrato,730 dias,Thu Feb 04 2021 13:10:25 GMT+0000 (Western European Standard Time)
151411,299098.34,309807.88,Sun Jun 03 2012 00:00:00 GMT+0100 (Western European Summer Time),Fri Oct 01 2010 00:00:00 GMT+0100 (Western European Summer Time),60000000-8, Serviços de transporte (excl. transporte de resíduos),Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de serviços,Concurso público,Portugal, Vila Real, Chaves,Prestação de serviços de transporte terrestre de alunos, em circuitos especiais, para o ano letivo de 2010/2011,Cumprimento integral do contrato,196 dias,Thu Feb 04 2021 11:51:17 GMT+0000 (Western European Standard Time)
170276,184624.6,,Sun Jun 03 2012 00:00:00 GMT+0100 (Western European Summer Time),Sun Feb 06 2011 00:00:00 GMT+0000 (Western European Standard Time),72212311-2, Serviços de desenvolvimento de software para gestão de documentos<BR/>48900000-7, Pacote de software e sistemas informáticos diversos,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de serviços,Concurso público,Portugal, Lisboa, Lisboa,Contrato de Serviços e Plataforma para a desmaterialização de processos e criação de arquivo digital.,,365 dias,Thu Feb 04 2021 12:16:58 GMT+0000 (Western European Standard Time)
221959,732817.5,73281.75,Sun Jun 03 2012 00:00:00 GMT+0100 (Western European Summer Time),Mon Sep 05 2011 00:00:00 GMT+0100 (Western European Summer Time),45111290-7, Obras de infra-estrutura para urbanização de terrenos,Não aplicável,Artigo 19.º, alínea b) do Código dos Contratos Públicos,Empreitadas de obras públicas,Concurso público,Portugal, Aveiro, Anadia,Áreas de Acolhimento Empresarial - Zona Industrial de Vilarinho do Bairro ,Cumprimento integral do contrato,180 dias,Thu Feb 04 2021 13:12:10 GMT+0000 (Western European Standard Time)
229581,1788,1788,Wed May 30 2012 00:00:00 GMT+0100 (Western European Summer Time),Wed Dec 28 2011 00:00:00 GMT+0000 (Western European Standard Time),45214200-2, Construção de edifícios escolares,Não aplicável,Artigo 19.º, alínea b) do Código dos Contratos Públicos,Empreitadas de obras públicas,Concurso público,Portugal, Aveiro, Anadia,Centro Escolar de Avelãs de Cima / Avelãs de Caminho,Cumprimento integral do contrato,450 dias,Thu Feb 04 2021 13:17:44 GMT+0000 (Western European Standard Time)
194327,1334.842,1334.842,Wed May 30 2012 00:00:00 GMT+0100 (Western European Summer Time),Thu Jan 27 2011 00:00:00 GMT+0000 (Western European Standard Time),90910000-9, Serviços de limpeza,Não aplicável,Artigo 33.º, n.º 1 do Código dos Contratos Públicos,Aquisição de serviços,Concurso público,Portugal, Lisboa, Lisboa,Contrato de Prestação de Serviços de Limpezas,Cumprimento não integral do contrato (Resolução do Contrato),1095 dias,Thu Feb 04 2021 12:47:40 GMT+0000 (Western European Standard Time)
147248,80000,,Wed May 23 2012 00:00:00 GMT+0100 (Western European Summer Time),Sun Apr 25 2010 00:00:00 GMT+0100 (Western European Summer Time),71300000-1, Serviços de engenharia,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de serviços,Concurso público,Portugal, Santarém, Alpiarça,CONTRATO Nº 064/2010,,150 dias,Thu Feb 04 2021 11:45:29 GMT+0000 (Western European Standard Time)
143976,98583,100259.32,Wed May 23 2012 00:00:00 GMT+0100 (Western European Summer Time),Sun Oct 17 2010 00:00:00 GMT+0100 (Western European Summer Time),45221119-9, Obras de renovação de pontes,Não aplicável,Artigo 19.º, alínea b) do Código dos Contratos Públicos,Empreitadas de obras públicas,Concurso público,Portugal, Beja, Beja,CONTRATO N º 227/2010,Cumprimento integral do contrato,150 dias,Thu Feb 04 2021 11:40:13 GMT+0000 (Western European Standard Time)
135647,908648.1,,Wed May 23 2012 00:00:00 GMT+0100 (Western European Summer Time),Fri Aug 13 2010 00:00:00 GMT+0100 (Western European Summer Time),48000000-8, Pacotes de software e sistemas de informação,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de serviços,Concurso público,Portugal, Portugal Continental,CONTRATO Nº 161/2010,,1095 dias,Thu Feb 04 2021 11:26:35 GMT+0000 (Western European Standard Time)
77298,1980,,Sun May 20 2012 00:00:00 GMT+0100 (Western European Summer Time),Fri Sep 18 2009 00:00:00 GMT+0100 (Western European Summer Time),71300000-1, Serviços de engenharia,Não aplicável,Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos,Aquisição de serviços,Ajuste Direto Regime Geral,Portugal, Região Autónoma dos Açores, Santa Cruz da Graciosa,Processo nº 83 – AERODROMO DA ILHA GRACIOSA, AÇORES – ALTERAÇÕES NA AEROGARE – REVESTIMENTO DA PÁLA EXTERIOR – SERVIÇOS DE PLANEAMENTO, COORDENAÇÃO E FISCALIZAÇÃO,,30 dias,Thu Feb 04 2021 09:45:18 GMT+0000 (Western European Standard Time)
241669,20348.31,19864.28,Sat May 19 2012 00:00:00 GMT+0100 (Western European Summer Time),Thu Nov 24 2011 00:00:00 GMT+0000 (Western European Standard Time),22212000-9, Publicações periódicas,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de bens móveis,Concurso público,Portugal, Lisboa, Lisboa,Contrato de aquisição de Publicações periódicas - Lote B,Cumprimento integral do contrato,730 dias,Thu Feb 04 2021 13:29:46 GMT+0000 (Western European Standard Time)
241670,168121.25,166595.31,Sat May 19 2012 00:00:00 GMT+0100 (Western European Summer Time),Thu Nov 24 2011 00:00:00 GMT+0000 (Western European Standard Time),22212000-9, Publicações periódicas,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de bens móveis,Concurso público,Portugal, Lisboa, Lisboa,Contrato de aquisição de Publicações periódicas - Lote A,Cumprimento integral do contrato,730 dias,Thu Feb 04 2021 13:29:46 GMT+0000 (Western European Standard Time)
170263,149351.23,149351.23,Sat May 19 2012 00:00:00 GMT+0100 (Western European Summer Time),Sat May 05 2012 00:00:00 GMT+0100 (Western European Summer Time),45000000-7, Construção,ausência de recursos próprios,Artigo 19.º, alínea a) do Código dos Contratos Públicos,Empreitadas de obras públicas,Ajuste Direto Regime Geral,Portugal, Castelo Branco, Fundão,Estação elevatória na Soalheira, trabalhos complementares no caminho rural do Catrão (Feiteiras) - Alto dos Barbados e arruamentos na Mata da Rainha,Cumprimento integral do contrato,90 dias,Thu Feb 04 2021 12:16:58 GMT+0000 (Western European Standard Time)
216451,893628.2,,Sat May 19 2012 00:00:00 GMT+0100 (Western European Summer Time),Sat May 12 2012 00:00:00 GMT+0100 (Western European Summer Time),45000000-7, Construção,Não aplicável,Artigo 19.º, alínea b) do Código dos Contratos Públicos,Empreitadas de obras públicas,Concurso público,Portugal, Castelo Branco, Fundão,Loteamento Industrial de Silvares - Infra-estruturas - 1ª Fase,,365 dias,Thu Feb 04 2021 13:07:30 GMT+0000 (Western European Standard Time)
211353,1247.439,,Fri May 18 2012 00:00:00 GMT+0100 (Western European Summer Time),Thu May 19 2011 00:00:00 GMT+0100 (Western European Summer Time),45212225-9, Construção de pavilhão de desportos,Não aplicável,Artigo 19.º, alínea b) do Código dos Contratos Públicos,Empreitadas de obras públicas,Concurso público,Portugal, Leiria, Batalha,Desporto, Recreio e Lazer - Construção de Polidesportivo da Golpilheira,,480 dias,Thu Feb 04 2021 13:03:29 GMT+0000 (Western European Standard Time)
99020,219000.1,227609.42,Fri May 18 2012 00:00:00 GMT+0100 (Western European Summer Time),Thu Dec 30 2010 00:00:00 GMT+0000 (Western European Standard Time),45246200-5, Obras de protecção de margens,Não aplicável,Artigo 19.º, alínea b) do Código dos Contratos Públicos,Empreitadas de obras públicas,Concurso público,Portugal, Santarém, Golegã,Empreitada de  Vala das Braquenizes e Zona Envolvente - Reabilitação e Requalificação,Cumprimento integral do contrato,180 dias,Thu Feb 04 2021 10:23:13 GMT+0000 (Western European Standard Time)
167155,6330,6330,Thu May 17 2012 00:00:00 GMT+0100 (Western European Summer Time),Fri Jun 11 2010 00:00:00 GMT+0100 (Western European Summer Time),45111200-0, Preparação e limpeza dos locais para construção,Não aplicável,Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos,Aquisição de serviços,Ajuste Direto Regime Geral,Portugal, Porto, Trofa,Aquisição e Realização de Prospecção Geológica- Geotécnica no Parque Nossa Senhora Das Dores ,Cumprimento integral do contrato,15 dias,Thu Feb 04 2021 12:12:07 GMT+0000 (Western European Standard Time)
169304,5900,,Thu May 17 2012 00:00:00 GMT+0100 (Western European Summer Time),Thu Jul 22 2010 00:00:00 GMT+0100 (Western European Summer Time),71240000-2, Serviços de arquitectura, engenharia e planeamento,Não aplicável,Artigo 65.º do DL 69-A/2009, de 24.03,Aquisição de serviços,Ajuste Direto Regime Geral,Portugal, Porto, Trofa,Realização de Projecto de Sustentabilidade e Betaõ Armado no Parque Nossa Senhora das Dores e Dr. Lima  ,,30 dias,Thu Feb 04 2021 12:15:25 GMT+0000 (Western European Standard Time)
178501,671398.5,655527.2,Sun May 13 2012 00:00:00 GMT+0100 (Western European Summer Time),Sat May 12 2012 00:00:00 GMT+0100 (Western European Summer Time),45233120-6, Construção de estradas,Não aplicável,Artigo 19.º, alínea b) do Código dos Contratos Públicos,Empreitadas de obras públicas,Concurso público,Portugal, Leiria, Leiria,Construção da Variante da Caranguejeira - 2.º Troço,Cumprimento integral do contrato,548 dias,Thu Feb 04 2021 12:30:00 GMT+0000 (Western European Standard Time)
191505,169478.84,,Sun May 13 2012 00:00:00 GMT+0100 (Western European Summer Time),Wed May 09 2012 00:00:00 GMT+0100 (Western European Summer Time),34951000-8, Plataformas de acesso,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de bens móveis,Concurso público,Portugal, Coimbra, Montemor-o-Velho,CONTRATO DE AQUISIÇÃO DE BENS MÓVEIS, POR CONCURSO PÚBLICO COM PUBLICIDADE INTERNACIONAL, PARA ”FORNECIMENTO DE EQUIPAMENTOS – PLATAFORMA FLUTUANTE E BARCOS DE APOIO PARA O CENTRO DE ALTO RENDIMENTO DE MONTEMOR-O-VELHO (CAR)”,,20 dias,Thu Feb 04 2021 12:44:35 GMT+0000 (Western European Standard Time)
241663,127500,127500,Wed May 09 2012 00:00:00 GMT+0100 (Western European Summer Time),Mon Jan 16 2012 00:00:00 GMT+0000 (Western European Standard Time),31127000-2, Geradores de emergência,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de bens móveis,Concurso público,Portugal, Lisboa, Cadaval<BR/>Portugal, Leiria, Óbidos,Fornecimento e Instalação de Grupos Electrogéneos - Sistema de Abastecimento Multimunicipal do Oeste Sistema I,Cumprimento integral do contrato,90 dias,Thu Feb 04 2021 13:29:46 GMT+0000 (Western European Standard Time)
151542,4151.62,2913.86,Wed May 09 2012 00:00:00 GMT+0100 (Western European Summer Time),Thu Dec 09 2010 00:00:00 GMT+0000 (Western European Standard Time),30192000-1, Material de escritório,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Outros Tipos (Não Preenchido),Concurso público,Portugal, Faro,Lote 7-Unidades de armazenamento,Cumprimento integral do contrato,730 dias,Thu Feb 04 2021 11:51:30 GMT+0000 (Western European Standard Time)
151543,33028.89,3768.1,Wed May 09 2012 00:00:00 GMT+0100 (Western European Summer Time),Thu Dec 09 2010 00:00:00 GMT+0000 (Western European Standard Time),30192000-1, Material de escritório,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Outros Tipos (Não Preenchido),Concurso público,Portugal, Faro,Lote 5-Escrita,Cumprimento integral do contrato,730 dias,Thu Feb 04 2021 11:51:30 GMT+0000 (Western European Standard Time)
151549,6360.7,2355.7,Wed May 09 2012 00:00:00 GMT+0100 (Western European Summer Time),Thu Dec 09 2010 00:00:00 GMT+0000 (Western European Standard Time),30192000-1, Material de escritório,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Outros Tipos (Não Preenchido),Concurso público,Portugal, Faro,Lote 6-Encadernação,Cumprimento integral do contrato,730 dias,Thu Feb 04 2021 11:51:30 GMT+0000 (Western European Standard Time)
151548,42896.88,25194.16,Wed May 09 2012 00:00:00 GMT+0100 (Western European Summer Time),Thu Dec 09 2010 00:00:00 GMT+0000 (Western European Standard Time),30192000-1, Material de escritório,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Outros Tipos (Não Preenchido),Concurso público,Portugal, Faro,Lote 1-Arquivo e Organização,Cumprimento integral do contrato,730 dias,Thu Feb 04 2021 11:51:30 GMT+0000 (Western European Standard Time)
151547,2860.37,1340.34,Wed May 09 2012 00:00:00 GMT+0100 (Western European Summer Time),Thu Dec 09 2010 00:00:00 GMT+0000 (Western European Standard Time),30192000-1, Material de escritório,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Outros Tipos (Não Preenchido),Concurso público,Portugal, Faro,Lote 8-Comunicação visual,Cumprimento integral do contrato,730 dias,Thu Feb 04 2021 11:51:30 GMT+0000 (Western European Standard Time)
151546,2218.18,873.85,Wed May 09 2012 00:00:00 GMT+0100 (Western European Summer Time),Thu Dec 09 2010 00:00:00 GMT+0000 (Western European Standard Time),30192000-1, Material de escritório,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Outros Tipos (Não Preenchido),Concurso público,Portugal, Faro,Lote 2-Blocos e cadernos,Cumprimento integral do contrato,730 dias,Thu Feb 04 2021 11:51:30 GMT+0000 (Western European Standard Time)
151544,5660.5,2763.15,Wed May 09 2012 00:00:00 GMT+0100 (Western European Summer Time),Thu Dec 09 2010 00:00:00 GMT+0000 (Western European Standard Time),30192000-1, Material de escritório,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Outros Tipos (Não Preenchido),Concurso público,Portugal, Faro,Lote 3-Acessórios,Cumprimento integral do contrato,730 dias,Thu Feb 04 2021 11:51:30 GMT+0000 (Western European Standard Time)
151545,23850.93,11583.29,Wed May 09 2012 00:00:00 GMT+0100 (Western European Summer Time),Thu Dec 09 2010 00:00:00 GMT+0000 (Western European Standard Time),30192000-1, Material de escritório,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Outros Tipos (Não Preenchido),Concurso público,Portugal, Faro,Lote 4-Consumíveis,Cumprimento integral do contrato,730 dias,Thu Feb 04 2021 11:51:30 GMT+0000 (Western European Standard Time)
108067,0,,Thu May 03 2012 00:00:00 GMT+0100 (Western European Summer Time),Fri May 14 2010 00:00:00 GMT+0100 (Western European Summer Time),72262000-9, Serviços de desenvolvimento de software,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de serviços,Concurso público,Portugal, Lisboa, Lisboa,Contrato de aquisição de Serviços de desenvolvimento de software,Cumprimento integral do contrato,1461 dias,Thu Feb 04 2021 10:38:45 GMT+0000 (Western European Standard Time)
237844,750000,831893.25,Thu May 03 2012 00:00:00 GMT+0100 (Western European Summer Time),Fri Jan 27 2012 00:00:00 GMT+0000 (Western European Standard Time),79212100-4, Serviços de auditoria financeira,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de serviços,Concurso limitado por prévia qualificação,Portugal, Lisboa, Lisboa,Contrato de aquisição de Serviços de auditoria financeira,Cumprimento integral do contrato,2192 dias,Thu Feb 04 2021 13:25:33 GMT+0000 (Western European Standard Time)
141882,23672.64,23672.64,Wed May 02 2012 00:00:00 GMT+0100 (Western European Summer Time),Wed Jul 21 2010 00:00:00 GMT+0100 (Western European Summer Time),65500000-8, Serviços de leitura de contadores,Não aplicável,Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos,Aquisição de serviços,Ajuste Direto Regime Geral,Portugal, Braganca, Vimioso,CONTRATO N.º 11/2010 para  Prestação de Serviços de Leitura e Cobrança de Todos os Contratos de Fornecimento de Água do Município De Vimioso,Cumprimento integral do contrato,365 dias,Thu Feb 04 2021 11:36:41 GMT+0000 (Western European Standard Time)
211588,650000,625500,Wed May 02 2012 00:00:00 GMT+0100 (Western European Summer Time),Thu Dec 01 2011 00:00:00 GMT+0000 (Western European Standard Time),72720000-3, Serviços de rede de área global,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de serviços,Concurso público,Portugal, Porto, Porto<BR/>Portugal, Lisboa, Alenquer<BR/>Portugal, Braga, Braga<BR/>Portugal, Região Autónoma dos Açores, Ponta Delgada<BR/>Portugal, Coimbra, Coimbra<BR/>Portugal, Viseu, Viseu<BR/>Portugal, Lisboa, Lisboa<BR/>Portugal, Região Autónoma da Madeira, Funchal<BR/>Portugal, Faro, Faro<BR/>Portugal, Castelo Branco, Castelo Branco<BR/>Portugal, Évora, Évora,Contrato de aquisição de Serviços de rede de área global,Cumprimento integral do contrato,1096 dias,Thu Feb 04 2021 13:03:40 GMT+0000 (Western European Standard Time)
155288,626000,626000,Wed May 02 2012 00:00:00 GMT+0100 (Western European Summer Time),Wed Dec 21 2011 00:00:00 GMT+0000 (Western European Standard Time),42996000-4, Máquinas para tratamento de águas residuais,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de serviços<br/>Aquisição de bens móveis,Concurso público,Portugal, Santarém, Almeirim,Contrato de Aquisição de Sistema de Tratamento de Lixiviados por Osmose Inversa Nova, com capacidade minima de 100m3/dia, com Operação e Manutenção por três anos, no Aterro Sanitário da Raposa,Cumprimento integral do contrato,1095 dias,Thu Feb 04 2021 11:56:31 GMT+0000 (Western European Standard Time)
176933,0,,Wed May 02 2012 00:00:00 GMT+0100 (Western European Summer Time),Mon Jun 06 2011 00:00:00 GMT+0100 (Western European Summer Time),72267000-4, Serviços de manutenção e reparação de software,Não aplicável,Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos,Aquisição de serviços,Concurso público,Portugal, Lisboa, Lisboa,Contrato de aquisição de Serviços de manutenção e reparação de software,Cumprimento integral do contrato,1461 dias,Thu Feb 04 2021 12:27:28 GMT+0000 (Western European Standard Time)
